metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit
Persian_MS_751_binding_1,manuscript_7256,,Persian_MS_751,,"Rebound for Hamitlon in Dehli.; resewn on a single thong support. yellow and low-carat gold -wrapped threads over round cores. flyleaves of machine-made laid, ~8 ll per cm and 28 chainlines.; 235 146 56",Handle with caution. Fair but stable condition.,,,,1775,1838,,,235.0,235.0,235.0,146.0,146.0,146.0,56.0,56.0,56.0,mm
Persian_MS_753_binding_1,manuscript_7258,,Persian_MS_753,,"Bound in Shāhjahānābād (Dehli) for George William Hamilton.; Unsupported sewing at 4 stations. Endpapers of comparatively heavy, unevenly formed, unpolished paper handmade and very thin ivory-coloured British-made wove paper added at beginning and end. Covered in semi-limp full red-brown goatskin leather, cut flush at the edges, but without a flap (Type II binding per Déroche).; 173 90 8","Binding in fair but stable condition, with the edges abraded, the lower-left corner of the right board cracked, and extensive salts (spew) on the exterior due to prolonged exposure to moisture.",Exterior and interior board margins double-ruled in yellow. An octagonal paper label adhered to the right board exterior bears the title in black nasta‘līq.,,,1863,1867,,,173.0,173.0,173.0,90.0,90.0,90.0,8.0,8.0,8.0,mm
Persian_MS_758_binding_1,manuscript_7262,,Persian_MS_758,,"Probably repaired, compiled, and rebound in a hybrid British-Indian style in Multan for former owner Colonel George William Hamilton.; Unsupported resewing at two stations. Edges trimmed and twined chevron endbands worked in black and white silk threads over round cores at head and tail. Covered in full maroon goatskin leather, tight-backed, with squares at the edges, defined joints, but without a flap (type III binding per Déroche). Internal pastedowns of ochre-coloured paper, with hinges of the same leather, adhered over the joints and onto the flyleaves to attach the cover to the textblock.; 261 151 22","Handle binding with caution. In fair but stable condition, with exterior scuffed and abraded and cracked head and tail.",Title labels adhered to the spine and right board mentions the title of the second work.,,,1855,1863,,,261.0,261.0,261.0,151.0,151.0,151.0,22.0,22.0,22.0,mm
Persian_MS_759_binding_1,manuscript_7263,,Persian_MS_759,,Possibly rebound in a European manner in the Indian subcontinent.; Sewn on two cord supports laced into pasteboards. Edged trimmed and spattered in red. Striped cloth stuck-on endpapers applied to head and tail. Covered in half smooth brown goatskin leather with 'Stormont' patterned marbled paper sides.; 233 173 31,"Handle binding with caution. In fair condition, with extensive abrasion to the exterior. Boxed.",An octagonal paper label bears the title written in bold black nasta‘līq.,,,1775,1868,,,233.0,233.0,233.0,173.0,173.0,173.0,31.0,31.0,31.0,mm
Persian_MS_76_binding_1,manuscript_7265,,Persian_MS_76,,"Probably bound in India then subsequently restored for former owner Sir Gore Ouseley.; Resewn on five recessed cords laced into the original boards. Edges trimmed, coloured red, with tall front-bead endbands sewn at head and tail in brown and white silkthreads. Original boards of smooth, polished dark red goatskin leather, with internal doublures of the same. New flyleaves added when restored, and the original board rebacked in British tan coloured calfskin leather.","Binding in sound by fair condition, with some abrasion to the exterior decoration and the rebacked spine.","Original boards blocked in gold with scalloped central mandorlas, detached pendants, and corners featuring floral scrollwork designs, the last with prominent irises. Rebacked spine fully paletted in gold and titled KULIAT. I SELMAN",,,1768,1799,,,,,,,,,,,,
Persian_MS_77_binding_1,manuscript_7274,,Persian_MS_77,,"Probably rebound in Britain for former owner William Platel.; Resewn on five single-cord supports laced into pasteboards. Endpapers of British-made laid paper with ~11 laid lines per cm and 25 mm between laid lines, watermarked with a Fleur de lis ( ) and countermarked with either the Roman numberal IV or VI (63 40 ). Edges trimmed and fully gilt, with single-core front-bead decorative endbands sewn in russet and ivoury silk threads at 13 23 head and tail. Covered in full diced russia calfskin leather, tight-backed and tight-jointed, with squares along the edges..; 330 232 66","Binding in good condition, with scuffed on the exterior, bumped corners, and broken endbands.",,,,1800,1810,,,330.0,330.0,330.0,232.0,232.0,232.0,66.0,66.0,66.0,mm
Persian_MS_770_binding_1,manuscript_7275,,Persian_MS_770,,"Probably restored and rebound in Delhi for former owner Colonel George William Hamilton.; Folios of comparatvely heavy-weight coarse paper added as endpapers, with very thin-weight European-made wove letter paper for the first and last flyleaves and pastedowns. Sewn at three station, unsupported. Edges trimmed, and chevron endbands of yellow and red threads twined at head and tail. Covered in full brown-red goatskin leather over pasteboards, with squares along the edges, defined joints, and without a flap (Type III binding per Déroche).; 151 93 20","Handle binding with caution. In fair but stable condition, with abrasion at the joints and spine","Boards edges and spine stained dark brown with the board exteriors decorated with scalloped central mandorlas and detached pendants blocked in gold, with interstices hand-tooled with small circle. Wide marginal ruling in gold leaf bears repeated impressions of rosettes formed of nine dots. Interior decoration ruled with vertical single yellow lines, surrounded by inner margins and either side of the margins ruled in the same. Board margin interiors and exteriors rule with double yellow lines. Spine bears an octagonal paper label titled in Persian: مجموعهٔ مضمونهای متفرق (Miscellany of mixed contents).",,,1860,1867,,,151.0,151.0,151.0,93.0,93.0,93.0,20.0,20.0,20.0,mm
Persian_MS_772_binding_1,manuscript_7277,,Persian_MS_772,,"Probably bound Delhifor former owner Colonel George William Hamilton after his appointment as Commissioner in 1863.; Sewn on a single flat tape support in the centre, machine-mde wove endpaper added at the front only, then edges trimmed, but endbands omitted. Covers hemmed in red goatskin leather, faced with British-made 'Spanish' patterned marbled paper. ; 267 166 12","Handle binding with caution. Vertical breaks in the leather on the spine, and abrasion to the edges; headcaps wanting.",Octagonal paper label bears the titles of the two works.,,,1863,1867,,,267.0,267.0,267.0,166.0,166.0,166.0,12.0,12.0,12.0,mm
Persian_MS_778_binding_1,manuscript_7283,,Persian_MS_778,,"Rebound in a hybrid British-Indian style, probably in Multan for former owner George William Hamilton between 1858 and 1863.; Resewn at three stations, possibly over cord supports. Endpapers of comparatively coarse, heavy paper added and the edges trimmed but without endbands. Covered in full, polished dark red goatskin leather, tight-backed, over pasteboards, with squares at the edges and defined joints, but without a flap (Type III binding per Déroche). Spine sibsequently rebacked in thin goatskin leather.; 162 97 13",Binding in good condition.,Board margins ruled with one interior single and two exterior double lines in yellow.,,,1850,1865,,,162.0,162.0,162.0,97.0,97.0,97.0,13.0,13.0,13.0,mm
Persian_MS_779_binding_1,manuscript_7284,,Persian_MS_779,,"Probably rebound in Multan for former owner Colonel George William Hamilton.; Unsupported sewing at 2 stations, spine lined with cotton fabric, with the excess width adhered to the second and second-to-last flyleaves. Edges trimmed, but endbands omitted. Covered in semi-limp full maroon semi-limp goatskin leather. Flyleaves tipped onto the cotton fabric, with the excess width adhered as hinges connecting the text to the cover, but without full pastedowns, then reinforced with overlaid, thin transluscent tissue.; 150 118 9",Handle binding with caution. In fair condition with the right cover detached. Boxed.,An octagonal paper label on the right cover bears the title in black nasta‘līq,,,1841,1862,,,150.0,150.0,150.0,118.0,118.0,118.0,9.0,9.0,9.0,mm
Persian_MS_79_binding_1,manuscript_7296,,Persian_MS_79,,"Contemporary binding likely executed in the Indian subcontinent.; Sewn at two unsupported stations. Endpapers of medium-weight, cross-grained, ivory-coloured paper, with ~9 laid lines per cm and ~28 mm between chain lines, the watermarked with the insigniaEast India Company 106 57 (NB: dimensions taken from as it spans the gutter) and countermarked Persian MS 922 (dimensions undetermined), manufactured by the J. Whatman& W. Balston 1813Whatman Paper Mill in Maidstone, Kent, then owned and operated by William Balston (1759–1849). Edges trimmed, and chevron endbands of yellow and silver threads twined at head and tail. Covered in full, smooth, crimson goatskin leather, over pasteboards, without either squares or flap squares, but with prominent defined joints (type III binding per Déroche). Interior doublures lined with the same leather, with their excess widths adhered as hinges connecting the boards to the textblock, with strips of paper decoratively cut with zig-zags along one edges applied over top to disgues the joins.; 229 152 25","Handle binding with caution. In fair but stable condition with extensive surface abrasion, right board cracking in the joint, headcap exposed, and insect damage. and bumped upper corners, broken upper headcap, and also breaking in the joints by the head. Boards loosely connected, with the hinges lifting and pulling away from the textblock.","Boards decorated with recessed central scalloped mandorlas, detached pendants, and cornerpieces with floratiate scrollwork designs, and rosettes between the last, all blocked on gold leaf. Central decoration further embellished with criss-crossed darted lines in gold. The surrounding board margins bear wide painted floriate scrollwork designs, with thin double-ruled lines on either side, surrounded by a thick single ruled line and thin double lines. Board edges painted with diagonal lines in gold. Interior doublures extensively decorated and ruled in a white metal alloy, possibly tin, with darted interior and floriate scrollwork exterior margins. Spine subsequently titled YUSUF ZULAIKHA - JAMI in gold, the same as .Persian MS 70",,,1815,1823,,,229.0,229.0,229.0,152.0,152.0,152.0,25.0,25.0,25.0,mm
Persian_MS_794_binding_1,manuscript_7300,,Persian_MS_794,,"Sewn at two stations, possibly over cord supports, edges trimmed, and Islamic-style twined chevron endbands in red and green silk worked at head and tail. Bound tight-backed in a hybrid British-Indian style in full, polished dark red goatskin leather over pasteboards, without a flap (Type III binding per Déroche), with squares at the edges and a defined joint. Internal doublures of the same leather, with the excess width adhered over the supports, as a hinge connected to the first and last flyleaves, with the overlap covered by a vertical strip of paper to neaten the join.; 159 102 19","Binding in good condition, with some abrasion to the surface, board edges, and headcaps.",Spine titled in nasta‘līq script in Fihrist-i Kutubyellow.,,,1858,1866,,,159.0,159.0,159.0,102.0,102.0,102.0,19.0,19.0,19.0,mm
Persian_MS_795_binding_1,manuscript_7301,,Persian_MS_795,,"Resewn on five recessed cords, with European-style front bead decorative endbands in yellow and red silk threads at head and tail. Rebound in half calfskin leather with Shell-patterned marbled paper sides. Endpapers watermarked with an heart-shaped , dated East India Company insignia1820 ( ) and countermarked 106 57 , manufactured by J Whatman Balston & Co. 1820William Balston, (1759–1849) in Maidstone, Kent.; 287 194 41","Handle binding with caution. In poor condition, with the spine especially deteriorated and delaminated, and abrasion to the decoration on the exterior covers, and degraded leather applied to the spine. Boxed.","Surviving spine fragments palleted with quatrefoil decorative roll with double fillet lines either side, with single fillet lines on the boards.",,,1689,1811,,#Gregorian,287.0,287.0,287.0,194.0,194.0,194.0,41.0,41.0,41.0,mm
Persian_MS_797_binding_1,manuscript_7303,,Persian_MS_797,,"Rebound for a former owner, possibly in Hyderabad between 1858 to 1863. Quarto gatherings of handmade European, possibly Spanish, papers added to the beginning and end, measuring 11 laid lines per cm and 25 mm between laid lines, watermarked with bull ( ) and rejoneador (40 51 ), the latter with the initials 86 88 GBG, then resewn at two stations, unsupported. Edges trimmed and green and red silk chevron enbands twined at head and tail. Covered in a hfull, tight backed, dark red goatskin leather over pasteboards, without squares and with a fore-edge and envelope flap (Type II binding per Déroche). Internal pastedowns of blue wove paper.; 355 231 78","Handle binding with caution. In fair condition, with joints and flap breaking, endbands exposed, and abrasion along the edges, while the interiors pull away from the spine. Opening to the gutter margins restricted.","Boards and flap decorated with leather onlays central scalloped mandorlas, detached pendants, and corners blocked in gold. Central decoration surrounded by double blind lines, with the same releated twice on the outer margins, on eith side of insular dots, with the latter connecting the central decoration. A paper label adhered to the right board exterior written in hasty shikastah script describes the volume.",,,1858,1868,,,355.0,355.0,355.0,231.0,231.0,231.0,78.0,78.0,78.0,mm
Persian_MS_798_binding_1,manuscript_7304,,Persian_MS_798,,"Rebound in Europe in the 18th century.; Resewn on four recessed cords laced into pasteboards. Medium-weight, ivory-coloured European laid endpapers added with ~10 laid lines per cm and 26 mm between chain lines, watermarked with a bunch of grapes and P & F on the same stock in Persian MS 800. Edges trimmed, stained brown, and decorative front-bead endbands sewn over a single round core in white and yellow silk threads at head and tail, then boards covered in full red goatskin leather.; 301 180 57","Handle with caution. Binding in fair condition, with abraded exterior and loose endpapers.","Board margins decorated with single solid fillet lines and vertical dashed and dotted roll, board edges and headcaps with thick solid and thin dashed diagonal roll, and the spine dived into seven panels palleted with Greek meanders, solid fillet lines, and foliate scrollwork designs, and titled AKBARNAMAH VOL.I. all in gold.",,,1775,1838,,,301.0,301.0,301.0,180.0,180.0,180.0,57.0,57.0,57.0,mm
Persian_MS_799_binding_1,manuscript_7305,,Persian_MS_799,,"Rebound in Europe in the 18th century.; Resewn on four recessed cords laced into pasteboards. Medium-weight, ivory-coloured European laid endpapers added with ~10 laid lines per cm and 26 mm between chain lines, watermarked with a bunch of grapes and P & F on the same stock in Persian MS 800. Edges trimmed, stained brown, and decorative front-bead endbands sewn over a single round core in white and yellow silk threads at head and tail, then boards covered in full red goatskin leather.; 297 179 48","Handle with caution. Binding in fair condition, with abraded exterior and loose endpapers.","Board margins decorated with single solid fillet lines and vertical dashed and dotted roll, board edges and headcaps with thick solid and thin dashed diagonal roll, and the spine dived into seven panels palleted with Greek meanders, solid fillet lines, and foliate scrollwork designs, and titled AKBARNAMAH VOL. II. all in gold.",,,1775,1838,,,297.0,297.0,297.0,179.0,179.0,179.0,48.0,48.0,48.0,mm
Persian_MS_800_binding_1,manuscript_7308,,Persian_MS_800,,"Rebound in Europe in the 18th century.; Resewn on four recessed cords laced into pasteboards. Medium-weight, ivory-coloured European laid endpapers added with ~10 laid lines per cm and 26 mm between chain lines, watermarked with a bunch of grapes and P & F. Edges trimmed, stained brown, and decorative front-bead endbands sewn over a single round core in white and yellow silk threads at head and tail, then boards covered in full red goatskin leather.; 345 230 68","Handle with caution. Binding in fair condition, with abraded exterior, bumped upper corner and a pronounced vertical crease on the left cover and loose endpapers.","Board margins decorated with single solid fillet lines and vertical dashed and dotted roll, board edges and headcaps with thick solid and thin dashed diagonal roll, and the spine dived into seven panels palleted with Greek meanders, solid fillet lines, and foliate scrollwork designs, and titled AKBARNAMAH VOL. III. all in gold.",,,1775,1838,,,345.0,345.0,345.0,230.0,230.0,230.0,68.0,68.0,68.0,mm
Persian_MS_803_binding_1,manuscript_7309,,Persian_MS_803,,"Uniformly rebound as a set with six other volumes ( to Persian MS 801806. Since appears identical with Persian MS 802, previously owned by Persian MS 182Captain Archibald Swinton, whose sale catalogue also lists another lot of an incomplete six-volume set of the same work, it seems that he also likely formerly owned this as well. However, subsequent owners Sir Gore Ouseley (1770–1844) evidently pasted his bookplate over Swinton's on the left paste down, and George Augustus Frederick FitzClarence replaced the label blocked with Swinton's arms adhered to the uppermost spine panel with his own, as further confirmed by similar gilt decoration evident where the top-right corner of the label tore off.; Abbreviated resewing on six cords, laced into pasteboard, edges trimmed and marbled with a loose serpentine pattern drawn over a stone design in yellow, green, black, and red. Decorative front-bead decorative endbands sewn in red and yellow silk threads. Covered in full, bright green calfskin leather, tight-backed and tight-jointed, with 'Old Dutch' curled patterned marbled endpapers, stiff leaved with plain European-manufactured endleaves, with ~9 laid lines per cm and ~23 mm between chain lines.; 286 183 37","Handle with caution. Exterior and board edges abraded, and joints cracked, headcaps missing. Boxed.","Spine fully gilt, with the Earl of Munster's arms blocked in gold on skiver leather labels applied to the top panel. Gilt floriate chain borders on the board perimeters, with floral sprig corners, and board edges tooled with a leaf-and-dart roll.",,,1762,1804,,,286.0,286.0,286.0,183.0,183.0,183.0,37.0,37.0,37.0,mm
Persian_MS_804_binding_1,manuscript_7310,,Persian_MS_804,,"Uniformly rebound as a set with six other volumes ( to Persian MS 801806. Since appears identical with Persian MS 802, previously owned by Persian MS 182Captain Archibald Swinton, whose sale catalogue also lists another lot of an incomplete six-volume set of the same work, it seems that he also likely formerly owned this as well. However, subsequent owners Sir Gore Ouseley (1770–1844) evidently pasted his bookplate over Swinton's on the left paste down, and George Augustus Frederick FitzClarence replaced the label blocked with Swinton's arms adhered to the uppermost spine panel with his own, as further confirmed by similar gilt decoration evident where the top-right corner of the label tore off.; Abbreviated resewing on six cords, laced into pasteboard, edges trimmed and marbled with a loose serpentine pattern drawn over a stone design in yellow, green, black, and red. Decorative front-bead decorative endbands sewn in red and yellow silk threads. Covered in full, bright green calfskin leather, tight-backed and tight-jointed, with 'Old Dutch' curled patterned marbled endpapers, stiff leaved with plain European-manufactured endleaves, with ~9 laid lines per cm and ~23 mm between chain lines.; 286 176 36","Handle with caution. Exterior and board edges abraded, and joints cracked. Upper headcap missing and headband broken. Boxed.","Spine fully gilt, with the Earl of Munster's arms blocked in gold on skiver leather labels applied to the top panel. Gilt floriate chain borders on the board perimeters, with floral sprig corners, and board edges tooled with a leaf-and-dart roll.",,,1762,1804,,,286.0,286.0,286.0,176.0,176.0,176.0,36.0,36.0,36.0,mm
Persian_MS_805_binding_1,manuscript_7311,,Persian_MS_805,,"Uniformly rebound as a set with six other volumes ( to Persian MS 801806. Since appears identical with Persian MS 802, previously owned by Persian MS 182Captain Archibald Swinton, whose sale catalogue also lists another lot of an incomplete six-volume set of the same work, it seems that he also likely formerly owned this as well. However, subsequent owners Sir Gore Ouseley (1770–1844) evidently pasted his bookplate over Swinton's on the left paste down, and George Augustus Frederick FitzClarence replaced the spine label blocked with Swinton's arms adhered to the uppermost panel with his own, as further confirmed by similar gilt decoration evident where the top-right corner of the label tore off.; Abbreviated resewing on six cords, laced into pasteboard, edges trimmed and marbled with a loose serpentine pattern drawn over a stone design in yellow, green, black, and red. Decorative front-bead decorative endbands sewn in red and yellow silk threads over a flat core, with the tailband measuring 22mm high. Covered in full, bright green calfskin leather, tight-backed and tight-jointed, with 'Antique Spot'-patterned marbled endpapers, stiff leaved with plain European-manufactured endleaves, with ~9 laid lines per cm and ~23 mm between chain lines.; 285 176 37","Handle with caution. Binding in poor condition. Exterior and board edges abraded, right board cracked, left board broken, and corners bumped. Head and tail abraded, and headcaps missing. Boxed.","Spine fully gilt, with the Earl of Munster's arms blocked in gold on skiver leather labels applied to the top panel. Gilt floriate chain borders on the board perimeters, with floral sprig corners, and board edges tooled with a leaf-and-dart roll.",,,1762,1804,,,285.0,285.0,285.0,176.0,176.0,176.0,37.0,37.0,37.0,mm
Persian_MS_806_binding_1,manuscript_7312,,Persian_MS_806,,"Uniformly rebound as a set with six other volumes ( to Persian MS 801805. Since appears identical with Persian MS 802, previously owned by Persian MS 182Captain Archibald Swinton, whose sale catalogue also lists another lot of an incomplete six-volume set of the same work, it seems that he also likely formerly owned this as well. However, subsequent owners Sir Gore Ouseley (1770–1844) evidently pasted his bookplate over Swinton's on the left paste down, and George Augustus Frederick FitzClarence replaced the label blocked with Swinton's arms adhered to the uppermost spine panel with his own, as further confirmed by similar gilt decoration evident where the top-right corner of the label tore off.; Abbreviated resewing on six cords, laced into pasteboard, edges trimmed and marbled with serpentine strokes drawn over a stone design in yellow, green, black, and red. Decorative front-bead decorative endbands sewn in red and yellow silk threads over a tall flat core measuring about 12 mm. Covered in full, emerald green calfskin leather, tight-backed and tight-jointed, with 'Antique Spot'-patterned marbled endpapers, stiff leaved with plain European-manufactured endleaves, with ~9 laid lines per cm and ~23 mm between chain lines.; 285 184 56","Handle with caution. Exterior and board edges abraded, joints broken, and corners bumped. Head and tail tearing, and headcaps missing. Spine label in the top panel degraded and cracking. Boxed","Spine fully gilt, but with the top panel where the Earl of Munster's arms blocked in gold on skiver leather now completely degraded. Gilt floriate chain borders on the board perimeters, with floral sprig corners, and board edges tooled with a leaf-and-dart roll.",,,1762,1804,,,285.0,285.0,285.0,184.0,184.0,184.0,56.0,56.0,56.0,mm
Persian_MS_807_binding_1,manuscript_7313,,Persian_MS_807,,"Uniformly rebound with , probably for Persian MS 808Sir Gore Ouseley.; Abbreviated resewing on five cords, three laced into pasteboard, edges trimmed and finely spattered, with decorative front-bead decorative endbands sewn in blue and white silk threads at head and tail.; 316 205 21","Handle with caution. Exterior and board edges abraded, and joints cracked. The initial and final flyleaves appear cut out. Boxed.","Spine fully gilt, but differs from . Earl of Munster's arms blocked in Persian MS 808gold on a skiver leather label applied to the top panel.",,,1762,1804,,,316.0,316.0,316.0,205.0,205.0,205.0,21.0,21.0,21.0,mm
Persian_MS_808_binding_1,manuscript_7314,,Persian_MS_808,,"Uniformly rebound with , probably for Persian MS 808Sir Gore Ouseley.; Abbreviated resewing on five cords, three laced into pasteboard, edges trimmed and finely spattered, with decorative front-bead decorative endbands sewn in blue and white silk threads at head and tail.; 316 203 14","Handle with caution. Exterior and board edges abraded, and joints cracked. The initial flyleaf appears cut out. Boxed.",Spine fully gilt but differs from .Persian MS 807,,,1762,1804,,,316.0,316.0,316.0,203.0,203.0,203.0,14.0,14.0,14.0,mm
Persian_MS_809_binding_1,manuscript_7315,,Persian_MS_809,,"Evidently rebound as a set for former owner Archibald Swinton after his return to Britain in 1766. Abbreviated resewing on six cords, laced into pasteboard, edges trimmed and marbled with a loose serpentine pattern drawn over a stone design in yellow, green, black, and red. Decorative front-bead decorative endbands sewn in red and yellow silk threads. Covered in full, bright green calfskin leather, tight-backed and tight-jointed, with 'French Curl'-patterned marbled endpapers.; 289 171 53","Handle with caution. Exterior and board edges abraded, and joints cracked.","Spine fully gilt, with Swinton's arms blocked on gold on black skiver leather label applied to the top panel with the title and volume panels in the same. Thick-and-thin dotted lines on the board margins.",,,1762,1804,,,289.0,289.0,289.0,171.0,171.0,171.0,53.0,53.0,53.0,mm
Persian_MS_813_binding_1,manuscript_7320,,Persian_MS_813,,"Probably bound in Bengal.; Sewn at two unsupported stations. Edges trimmed, and chevron endbands of red and green silk threads twined at head and tail. Covered in full dark maroon coloured goatskin leather over pasteboards, flush-cut, with a flap (type II binding per Déroche). Board interiors lined with the same leather. Spine subsequently replaced (rebacked) with medium russet-coloured goatskin leather.; 255 174 93","Handle binding with caution. In fair but stable condition, with stiffened flap. Prior water damage delaminated the pasteboard internally, causing them to soften.","Boards and flap uniformly decorated with blind central scalloped mandorlas, detached pendants, cornerpieces, and surrounding marginal cartouches that feature floral scrollwork against pointille backgrounds. Centres and inner margins ruled with single and double lines that connect the decoration, surrounded by comparatively thick single lines with thin lines on either side.",,,1775,1838,,,255.0,255.0,255.0,174.0,174.0,174.0,93.0,93.0,93.0,mm
Persian_MS_814_binding_1,manuscript_7321,,Persian_MS_814,,"While Frances Jane Birch signed page 1, the later binding style suggest that London binder possibly rebound it for subsequent owner Duncan Forbes.; Thin-weight ivoury-coloured, machine-made wove endpapers, stiff-leaved to terra-cotta coloured machine-made wove paper added at the beginning and end. Resewn on three recessed cords, laced into pasteboards. Edges trimmed, and endbands of blue silk threads twined at head and tail. Covered in full dark maroon artificially embossed diced goatskin leather.; 254 159 19","Handle binding with caution. In fair but stable condition with headcaps missing, endbands exposed, and wear along the board edges.",Board margins blind-tooled with thin-and-thick fillet lines and an interior decorative roll featuring a foliate palmette design. Board edges also blind-tooled with zig-zags. Untitled.,,,1828,1866,,,254.0,254.0,254.0,159.0,159.0,159.0,19.0,19.0,19.0,mm
Persian_MS_815_binding_1,manuscript_7322,,Persian_MS_815,,"Probably rebound in London for Duncan Forbes. ; Sewn on five recessed cords, laced into pasteboards. Endpapers of heavy-weight British-made wove added at the beginning and end. Edges trimmed and spattered russet brown. Front-bead decorative endbands of peach and green silk threads sewn at head and tail. Covered in half British tan coloured calfskin leather, tight-backed, and faced with predominantly green straight-waved ""Spanish""-patterned marbled paper. ; 300 213 59","Handle binding with caution. In fair but stable condition, with exterior abrasion to the board edges and torn headcaps, and opening to the gutter margins restricted.","Spine panels paletted with triple fillet lines and bear the title and volume number, all in gold. Blind triple fillet lines adjacent to the marbled paper facing. Note that the same binder also evidently completed and others, probably for Forbes.Persian MS 822",,,1830,1866,,,300.0,300.0,300.0,213.0,213.0,213.0,59.0,59.0,59.0,mm
Persian_MS_816_binding_1,manuscript_7323,,Persian_MS_816,,"Probably rebound in London for Duncan Forbes. ; Sewn on five recessed cords, laced into pasteboards. Endpapers of heavy-weight British-made wove added at the beginning and end. Edges trimmed and spattered russet brown. Front-bead decorative endbands of peach and green silk threads sewn at head and tail. Covered in half British tan coloured calfskin leather, tight-backed, and faced with predominantly green straight-waved ""Spanish""-patterned marbled paper. ; 299 212 59","Handle binding with caution. In fair but stable condition, with exterior abrasion to the board edges and torn headcaps, and opening to the gutter margins restricted.","Spine panels paletted with triple fillet lines and bear the title and volume number, all in gold. Blind triple fillet lines adjacent to the marbled paper facing. Note that the same binder also evidently completed and others, probably for Forbes.Persian MS 822",,,1830,1866,,,299.0,299.0,299.0,212.0,212.0,212.0,59.0,59.0,59.0,mm
Persian_MS_818_binding_1,manuscript_7325,,Persian_MS_818,,"Probably bound in the Indian subcontinent.; Sewn at two stations, unsupported. Edges trimmed, and chevron endbands of pale pink and natural colour twined at head and tail. Covered in full red-brown goatskin leather over pastebaords. The interior lined with doublures of the same leather, with their excess widths adhered to the first and last flyleaves as hinges connecting the cover to the textblock, with vertical strips of paper applied over tip to disguise the joins. ; 212 142 54","Handle binding with caution. In fair but stable condition with extensive abrasion to the exterior, head and tail caps torn, and protruding textblock.",Small typed naskh spine label bears the title.,,,1775,1838,,,212.0,212.0,212.0,142.0,142.0,142.0,54.0,54.0,54.0,mm
Persian_MS_82_binding_1,manuscript_7327,,Persian_MS_82,,"Probably split and uniformly rebound in two volumes in a hybrid British-Indian style, but in the Indian subcontinent for former owner Sir Gore Ouseley.; Resewn on six raised cords, with two laced into pasteboards. Endpapers medium-weight, straight-grained sized and polished straw-coloured paper, probably handmade in the Indian subcontinent added at the beginning and end, with edges trimmed, and twined chevron endbands worked over round cores at head and tail. Covered in full reverse calfskin leather over raised bands, tight-jointed, and without a flap (type III binding per Déroche).; 289 216 49","Binding in fair but sound condition, with some abrasion to the edges. Some folios protrude at the fore-edge.",Coated imitated boarded russia-grained paper labels applied to the spine bears a handwritten nasta‘līq title and volume number.,,,1795,1830,,,289.0,289.0,289.0,216.0,216.0,216.0,49.0,49.0,49.0,mm
Persian_MS_820_binding_1,manuscript_7328,,Persian_MS_820,,"Probably rebound in London for Duncan Forbes.; Resewn on three recessed cords laced into pasteboards. Edges trimmed and spattered medium brown, with cloth headbands adhered at head and tail. Covered in half decorated calfskin leather, with predominantly red-brown shell-patterned marbled paper sides.; 264 170 42",Handle binding with caution. Boards detached and spine cracked and delaminating. Tight sewing restricts opening to the gutter margins.,"Spine panels palleted with double fillet lines, and a titled Kashmir on a dark maroon skiver leather label in gold.",,,1775,1838,,,264.0,264.0,264.0,170.0,170.0,170.0,42.0,42.0,42.0,mm
Persian_MS_822_binding_1,manuscript_7330,,Persian_MS_822,,"Probably rebound in London for Duncan Forbes. ; Sewn on five recessed cords, laced into pasteboards. Endpapers of heavy-weight British-made wove added at the beginning and end. Edges trimmed and spattered russet brown. White, black and green striped fabric endbands adhered to head and tail. Covered in half British tan coloured calfskin leather, tight-backed, and faced with predominantly green straight-waved ""shell""-patterned marbled paper. ; 391 250 55","Handle binding with caution. In fair but stable condition, with exterior abrasion to the board edges, bumped corners, and opening to the gutter margins restricted.","Spine panels paletted with triple fillet lines in gold with blind tripple fillet lines on either side, and a russet-coloured goatskin leather label bearing the title lettered in gold. Blind triple fillet lines adjacent to the marbled paper facing. Note that the same binder also evidently completed and Persian MS 815816 and others, probably for Forbes.",,,1830,1866,,,391.0,391.0,391.0,250.0,250.0,250.0,55.0,55.0,55.0,mm
Persian_MS_825_binding_1,manuscript_7333,,Persian_MS_825,,"Possibly bound in London for a former owner, whose name appears crossed out on 1a, top.; Sewn on four recessed cords, laced into pasteboards. Edges trimmed and polished but left undecorated, and decorative single-core front-bead endbands of cream and copper-toned silk threads sewn at head and tail. Covered in full crimson straight-grained Morocco goatskin leather, tight backed and tight-jointed, and with squares along the edges.; 311 203 71","Handle binding with caution. In fair but stable condition, with evidence of insect damage in the exterior joints, and corresponding looses in the gutters of the interior endpapers.","Spine panels paelleted with double fillets, and the same along the board margins and edges, all in gold. Spine lettered TAREEKIH-I-VUSSAF.",,,1808,1825,high,,311.0,311.0,311.0,203.0,203.0,203.0,71.0,71.0,71.0,mm
